id,content_type,content_license,attribution_url,title,checksum_md5,file_url,video_format
1,video/mp4,CREATIVE_COMMONS_CC_BY_NC_ND,http://ubongo.co,akili and me - letter a,cf7d3ae385778e184c0c7f7c9b82e0e7,https://raw.githubusercontent.com/elimu-ai/webapp-lfs/main/lang-ENG/videos/cf7d3ae385778e184c0c7f7c9b82e0e7.m4v,M4V
2,video/mp4,CREATIVE_COMMONS_CC_BY_NC_ND,http://ubongo.co,akili and me - letter b,7e67b93fff2e8ee5dceb499c5f4ff389,https://raw.githubusercontent.com/elimu-ai/webapp-lfs/main/lang-ENG/videos/7e67b93fff2e8ee5dceb499c5f4ff389.m4v,M4V
3,video/mp4,CREATIVE_COMMONS_CC_BY_NC_ND,http://ubongo.co,akili and me - letter c,f4f4742c4944f1d5bbe39870730c8e2a,https://raw.githubusercontent.com/elimu-ai/webapp-lfs/main/lang-ENG/videos/f4f4742c4944f1d5bbe39870730c8e2a.m4v,M4V
4,video/mp4,CREATIVE_COMMONS_CC_BY_NC_ND,http://ubongo.co,akili and me - letter d,0a433b408cfefa5878db0a5a29917d7e,https://raw.githubusercontent.com/elimu-ai/webapp-lfs/main/lang-ENG/videos/0a433b408cfefa5878db0a5a29917d7e.m4v,M4V
5,video/mp4,CREATIVE_COMMONS_CC_BY_NC_ND,http://ubongo.co,akili and me - letter e,2e3a64f72004cf3e68ecfb834d9a3446,https://raw.githubusercontent.com/elimu-ai/webapp-lfs/main/lang-ENG/videos/2e3a64f72004cf3e68ecfb834d9a3446.m4v,M4V
6,video/mp4,CREATIVE_COMMONS_CC_BY_NC_ND,http://ubongo.co,akili and me - letter f,43dec803f17144cdb8ae71d38a4a1c16,https://raw.githubusercontent.com/elimu-ai/webapp-lfs/main/lang-ENG/videos/43dec803f17144cdb8ae71d38a4a1c16.m4v,M4V
7,video/mp4,CREATIVE_COMMONS_CC_BY_NC_ND,http://ubongo.co,akili and me - letter g,36b2b986d27a6f63b346c43bc54a0f75,https://raw.githubusercontent.com/elimu-ai/webapp-lfs/main/lang-ENG/videos/36b2b986d27a6f63b346c43bc54a0f75.m4v,M4V
8,video/mp4,CREATIVE_COMMONS_CC_BY_NC_ND,http://ubongo.co,akili and me - family,88cad186b3777aebd7c23d292a72e823,https://raw.githubusercontent.com/elimu-ai/webapp-lfs/main/lang-ENG/videos/88cad186b3777aebd7c23d292a72e823.m4v,M4V
9,video/mp4,CREATIVE_COMMONS_CC_BY_NC_ND,http://ubongo.co,akili and me - jump jump jump,0bb7ac6bff02a3d3a4dde6ad8d488c9f,https://raw.githubusercontent.com/elimu-ai/webapp-lfs/main/lang-ENG/videos/0bb7ac6bff02a3d3a4dde6ad8d488c9f.m4v,M4V
10,video/mp4,CREATIVE_COMMONS_CC_BY_NC_ND,http://ubongo.co,akili and me - music,9273a18afcb562c37ca4a010f6717ac1,https://raw.githubusercontent.com/elimu-ai/webapp-lfs/main/lang-ENG/videos/9273a18afcb562c37ca4a010f6717ac1.m4v,M4V
11,video/mp4,CREATIVE_COMMONS_CC_BY_NC_ND,http://ubongo.co,akili and me - art - drawing rectangles,4dc7ca901b49df6211fcd6d6d998cf91,https://raw.githubusercontent.com/elimu-ai/webapp-lfs/main/lang-ENG/videos/4dc7ca901b49df6211fcd6d6d998cf91.m4v,M4V
12,video/mp4,CREATIVE_COMMONS_CC_BY_NC_ND,http://ubongo.co,akili and me - numbers - one two three song,c524d75ca12abb840ead9149d32352ab,https://raw.githubusercontent.com/elimu-ai/webapp-lfs/main/lang-ENG/videos/c524d75ca12abb840ead9149d32352ab.m4v,M4V
13,video/mp4,CREATIVE_COMMONS_CC_BY_NC_ND,http://ubongo.co,akili and me - the rectangle song,cb04b235c36d7d61f053effb4a9e02bb,https://raw.githubusercontent.com/elimu-ai/webapp-lfs/main/lang-ENG/videos/cb04b235c36d7d61f053effb4a9e02bb.m4v,M4V
32,video/mp4,CREATIVE_COMMONS_CC_BY_NC_ND,http://ubongo.co,akili and me - letter h,25ddc70a24ce38e7700043aeb813fd13,https://raw.githubusercontent.com/elimu-ai/webapp-lfs/main/lang-ENG/videos/25ddc70a24ce38e7700043aeb813fd13.m4v,M4V
33,video/mp4,CREATIVE_COMMONS_CC_BY_NC_ND,http://ubongo.co,akili and me - letter i,e4470623f3968fa526881e3bc0d23b45,https://raw.githubusercontent.com/elimu-ai/webapp-lfs/main/lang-ENG/videos/e4470623f3968fa526881e3bc0d23b45.m4v,M4V
34,video/mp4,CREATIVE_COMMONS_CC_BY_NC_ND,http://ubongo.co,akili and me - letter j,15ee871bc5cf4cede2fc75891b01ae9a,https://raw.githubusercontent.com/elimu-ai/webapp-lfs/main/lang-ENG/videos/15ee871bc5cf4cede2fc75891b01ae9a.m4v,M4V
35,video/mp4,CREATIVE_COMMONS_CC_BY_NC_ND,http://ubongo.co,akili and me - letter k,774e5287c9445fae1fc8b6c2e20040ad,https://raw.githubusercontent.com/elimu-ai/webapp-lfs/main/lang-ENG/videos/774e5287c9445fae1fc8b6c2e20040ad.m4v,M4V
36,video/mp4,CREATIVE_COMMONS_CC_BY_NC_ND,http://ubongo.co,akili and me - letter l,b07749ec446a8d13163cdd598842b2df,https://raw.githubusercontent.com/elimu-ai/webapp-lfs/main/lang-ENG/videos/b07749ec446a8d13163cdd598842b2df.m4v,M4V
43,video/mp4,CREATIVE_COMMONS_CC_BY_NC_ND,https://toolkits.ubongo.org/2019/07/29/counting-to-10/, count to ten with me,637fcc6fa69b45012c44acb1d40bc136,https://raw.githubusercontent.com/elimu-ai/webapp-lfs/main/lang-ENG/videos/637fcc6fa69b45012c44acb1d40bc136.mp4,MP4
44,video/mp4,BSD_2_CLAUSE,,[test] a test video,d9061d3da8601932e98f79ec8ba1c877,https://raw.githubusercontent.com/elimu-ai/webapp-lfs/main/lang-ENG/videos/d9061d3da8601932e98f79ec8ba1c877.mp4,MP4
